!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -1.591e-06 -1.401e-06 -1.496e-06     0       0
         -1.401e-06 -1.210e-06 -1.306e-06     0       0
         -1.210e-06 -1.020e-06 -1.115e-06   500     500
         -1.020e-06 -8.296e-07 -9.248e-07     0     500
         -8.296e-07 -6.392e-07 -7.344e-07     0     500
         -6.392e-07 -4.489e-07 -5.440e-07     0     500
         -4.489e-07 -2.585e-07 -3.537e-07     0     500
         -2.585e-07 -6.809e-08 -1.633e-07     0     500
         -6.809e-08  1.223e-07  2.710e-08     0     500
          1.223e-07  3.127e-07  2.175e-07     0     500
          3.127e-07  5.031e-07  4.079e-07     0     500
          5.031e-07  6.934e-07  5.982e-07     0     500
          6.934e-07  8.838e-07  7.886e-07     0     500
          8.838e-07  1.074e-06  9.790e-07     0     500
          1.074e-06  1.265e-06  1.169e-06     0     500
          1.265e-06  1.455e-06  1.360e-06     0     500
          1.455e-06  1.645e-06  1.550e-06     0     500
          1.645e-06  1.836e-06  1.741e-06     0     500
          1.836e-06  2.026e-06  1.931e-06     0     500
          2.026e-06  2.216e-06  2.121e-06     0     500
          2.216e-06  2.407e-06  2.312e-06     0     500
          2.407e-06  2.597e-06  2.502e-06     0     500
          2.597e-06  2.788e-06  2.692e-06     0     500
          2.788e-06  2.978e-06  2.883e-06     0     500
          2.978e-06  3.168e-06  3.073e-06     0     500
          3.168e-06  3.359e-06  3.264e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_77652_Pd671vf
