!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -7.428e-07 -7.077e-07 -7.253e-07     0       0
         -7.077e-07 -6.726e-07 -6.901e-07     0       0
         -6.726e-07 -6.374e-07 -6.550e-07    20      20
         -6.374e-07 -6.023e-07 -6.199e-07     0      20
         -6.023e-07 -5.672e-07 -5.847e-07     0      20
         -5.672e-07 -5.320e-07 -5.496e-07    52      72
         -5.320e-07 -4.969e-07 -5.145e-07     0      72
         -4.969e-07 -4.618e-07 -4.793e-07    67     139
         -4.618e-07 -4.266e-07 -4.442e-07    57     196
         -4.266e-07 -3.915e-07 -4.091e-07     0     196
         -3.915e-07 -3.564e-07 -3.739e-07    18     214
         -3.564e-07 -3.212e-07 -3.388e-07   105     319
         -3.212e-07 -2.861e-07 -3.037e-07     0     319
         -2.861e-07 -2.510e-07 -2.685e-07    48     367
         -2.510e-07 -2.158e-07 -2.334e-07     0     367
         -2.158e-07 -1.807e-07 -1.983e-07    61     428
         -1.807e-07 -1.456e-07 -1.632e-07     0     428
         -1.456e-07 -1.105e-07 -1.280e-07    52     480
         -1.105e-07 -7.532e-08 -9.289e-08     0     480
         -7.532e-08 -4.019e-08 -5.776e-08     0     480
         -4.019e-08 -5.060e-09 -2.263e-08     0     480
         -5.060e-09  3.007e-08  1.251e-08     0     480
          3.007e-08  6.520e-08  4.764e-08    20     500
          6.520e-08  1.003e-07  8.277e-08     0     500
          1.003e-07  1.355e-07  1.179e-07     0     500
          1.355e-07  1.706e-07  1.530e-07     0     500
!Created by ./stackanalysis_v4.pl in Users/CDFSmaster_Hg964ts
