!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -7.355e-07 -6.402e-07 -6.878e-07     0       0
         -6.402e-07 -5.448e-07 -5.925e-07     0       0
         -5.448e-07 -4.495e-07 -4.972e-07   500     500
         -4.495e-07 -3.542e-07 -4.019e-07     0     500
         -3.542e-07 -2.589e-07 -3.065e-07     0     500
         -2.589e-07 -1.635e-07 -2.112e-07     0     500
         -1.635e-07 -6.821e-08 -1.159e-07     0     500
         -6.821e-08  2.712e-08 -2.054e-08     0     500
          2.712e-08  1.224e-07  7.479e-08     0     500
          1.224e-07  2.178e-07  1.701e-07     0     500
          2.178e-07  3.131e-07  2.654e-07     0     500
          3.131e-07  4.084e-07  3.608e-07     0     500
          4.084e-07  5.038e-07  4.561e-07     0     500
          5.038e-07  5.991e-07  5.514e-07     0     500
          5.991e-07  6.944e-07  6.468e-07     0     500
          6.944e-07  7.897e-07  7.421e-07     0     500
          7.897e-07  8.851e-07  8.374e-07     0     500
          8.851e-07  9.804e-07  9.327e-07     0     500
          9.804e-07  1.076e-06  1.028e-06     0     500
          1.076e-06  1.171e-06  1.123e-06     0     500
          1.171e-06  1.266e-06  1.219e-06     0     500
          1.266e-06  1.362e-06  1.314e-06     0     500
          1.362e-06  1.457e-06  1.409e-06     0     500
          1.457e-06  1.552e-06  1.505e-06     0     500
          1.552e-06  1.648e-06  1.600e-06     0     500
          1.648e-06  1.743e-06  1.695e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_61888_sD726xk
