!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
          6.464e-08  2.263e-07  1.455e-07     0       0
          2.263e-07  3.880e-07  3.072e-07     0       0
          3.880e-07  5.497e-07  4.688e-07   500     500
          5.497e-07  7.114e-07  6.305e-07     0     500
          7.114e-07  8.730e-07  7.922e-07     0     500
          8.730e-07  1.035e-06  9.539e-07     0     500
          1.035e-06  1.196e-06  1.116e-06     0     500
          1.196e-06  1.358e-06  1.277e-06     0     500
          1.358e-06  1.520e-06  1.439e-06     0     500
          1.520e-06  1.681e-06  1.601e-06     0     500
          1.681e-06  1.843e-06  1.762e-06     0     500
          1.843e-06  2.005e-06  1.924e-06     0     500
          2.005e-06  2.166e-06  2.086e-06     0     500
          2.166e-06  2.328e-06  2.247e-06     0     500
          2.328e-06  2.490e-06  2.409e-06     0     500
          2.490e-06  2.651e-06  2.571e-06     0     500
          2.651e-06  2.813e-06  2.732e-06     0     500
          2.813e-06  2.975e-06  2.894e-06     0     500
          2.975e-06  3.137e-06  3.056e-06     0     500
          3.137e-06  3.298e-06  3.217e-06     0     500
          3.298e-06  3.460e-06  3.379e-06     0     500
          3.460e-06  3.622e-06  3.541e-06     0     500
          3.622e-06  3.783e-06  3.702e-06     0     500
          3.783e-06  3.945e-06  3.864e-06     0     500
          3.945e-06  4.107e-06  4.026e-06     0     500
          4.107e-06  4.268e-06  4.187e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_01236_Ld152KD
