!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
          3.421e-06  3.749e-06  3.585e-06     0       0
          3.749e-06  4.077e-06  3.913e-06     0       0
          4.077e-06  4.405e-06  4.241e-06   500     500
          4.405e-06  4.732e-06  4.569e-06     0     500
          4.732e-06  5.060e-06  4.896e-06     0     500
          5.060e-06  5.388e-06  5.224e-06     0     500
          5.388e-06  5.716e-06  5.552e-06     0     500
          5.716e-06  6.044e-06  5.880e-06     0     500
          6.044e-06  6.371e-06  6.208e-06     0     500
          6.371e-06  6.699e-06  6.535e-06     0     500
          6.699e-06  7.027e-06  6.863e-06     0     500
          7.027e-06  7.355e-06  7.191e-06     0     500
          7.355e-06  7.683e-06  7.519e-06     0     500
          7.683e-06  8.010e-06  7.846e-06     0     500
          8.010e-06  8.338e-06  8.174e-06     0     500
          8.338e-06  8.666e-06  8.502e-06     0     500
          8.666e-06  8.994e-06  8.830e-06     0     500
          8.994e-06  9.322e-06  9.158e-06     0     500
          9.322e-06  9.649e-06  9.485e-06     0     500
          9.649e-06  9.977e-06  9.813e-06     0     500
          9.977e-06  1.030e-05  1.014e-05     0     500
          1.030e-05  1.063e-05  1.047e-05     0     500
          1.063e-05  1.096e-05  1.080e-05     0     500
          1.096e-05  1.129e-05  1.112e-05     0     500
          1.129e-05  1.162e-05  1.145e-05     0     500
          1.162e-05  1.194e-05  1.178e-05     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_00746_hQ563oa
