!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -6.560e-07 -5.011e-07 -5.785e-07     0       0
         -5.011e-07 -3.462e-07 -4.237e-07     0       0
         -3.462e-07 -1.914e-07 -2.688e-07   500     500
         -1.914e-07 -3.651e-08 -1.139e-07     0     500
         -3.651e-08  1.184e-07  4.092e-08     0     500
          1.184e-07  2.732e-07  1.958e-07     0     500
          2.732e-07  4.281e-07  3.506e-07     0     500
          4.281e-07  5.829e-07  5.055e-07     0     500
          5.829e-07  7.378e-07  6.604e-07     0     500
          7.378e-07  8.927e-07  8.152e-07     0     500
          8.927e-07  1.048e-06  9.701e-07     0     500
          1.048e-06  1.202e-06  1.125e-06     0     500
          1.202e-06  1.357e-06  1.280e-06     0     500
          1.357e-06  1.512e-06  1.435e-06     0     500
          1.512e-06  1.667e-06  1.590e-06     0     500
          1.667e-06  1.822e-06  1.744e-06     0     500
          1.822e-06  1.977e-06  1.899e-06     0     500
          1.977e-06  2.132e-06  2.054e-06     0     500
          2.132e-06  2.286e-06  2.209e-06     0     500
          2.286e-06  2.441e-06  2.364e-06     0     500
          2.441e-06  2.596e-06  2.519e-06     0     500
          2.596e-06  2.751e-06  2.674e-06     0     500
          2.751e-06  2.906e-06  2.828e-06     0     500
          2.906e-06  3.061e-06  2.983e-06     0     500
          3.061e-06  3.216e-06  3.138e-06     0     500
          3.216e-06  3.370e-06  3.293e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/GOODS_N_13733_hA724PA
