!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -1.341e-06 -9.959e-07 -1.169e-06     0       0
         -9.959e-07 -6.506e-07 -8.232e-07     0       0
         -6.506e-07 -3.053e-07 -4.780e-07     2       2
         -3.053e-07  3.997e-08 -1.327e-07     2       4
          3.997e-08  3.853e-07  2.126e-07     5       9
          3.853e-07  7.305e-07  5.579e-07    12      21
          7.305e-07  1.076e-06  9.032e-07    21      42
          1.076e-06  1.421e-06  1.248e-06    22      64
          1.421e-06  1.766e-06  1.594e-06    39     103
          1.766e-06  2.112e-06  1.939e-06    53     156
          2.112e-06  2.457e-06  2.284e-06    47     203
          2.457e-06  2.802e-06  2.630e-06    60     263
          2.802e-06  3.148e-06  2.975e-06    57     320
          3.148e-06  3.493e-06  3.320e-06    49     369
          3.493e-06  3.838e-06  3.665e-06    37     406
          3.838e-06  4.183e-06  4.011e-06    38     444
          4.183e-06  4.529e-06  4.356e-06    18     462
          4.529e-06  4.874e-06  4.701e-06    15     477
          4.874e-06  5.219e-06  5.047e-06    10     487
          5.219e-06  5.565e-06  5.392e-06     3     490
          5.565e-06  5.910e-06  5.737e-06     6     496
          5.910e-06  6.255e-06  6.082e-06     3     499
          6.255e-06  6.600e-06  6.428e-06     1     500
          6.600e-06  6.946e-06  6.773e-06     0     500
          6.946e-06  7.291e-06  7.118e-06     0     500
          7.291e-06  7.636e-06  7.464e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/CDFNmaster_nx769ij
