!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -5.818e-06 -5.471e-06 -5.644e-06     0       0
         -5.471e-06 -5.123e-06 -5.297e-06     0       0
         -5.123e-06 -4.775e-06 -4.949e-06     1       1
         -4.775e-06 -4.427e-06 -4.601e-06     2       3
         -4.427e-06 -4.079e-06 -4.253e-06     2       5
         -4.079e-06 -3.731e-06 -3.905e-06     3       8
         -3.731e-06 -3.383e-06 -3.557e-06     4      12
         -3.383e-06 -3.035e-06 -3.209e-06    13      25
         -3.035e-06 -2.687e-06 -2.861e-06    19      44
         -2.687e-06 -2.339e-06 -2.513e-06    30      74
         -2.339e-06 -1.991e-06 -2.165e-06    35     109
         -1.991e-06 -1.643e-06 -1.817e-06    64     173
         -1.643e-06 -1.295e-06 -1.469e-06    60     233
         -1.295e-06 -9.472e-07 -1.121e-06    63     296
         -9.472e-07 -5.992e-07 -7.732e-07    64     360
         -5.992e-07 -2.513e-07 -4.252e-07    40     400
         -2.513e-07  9.669e-08 -7.728e-08    38     438
          9.669e-08  4.446e-07  2.707e-07    34     472
          4.446e-07  7.926e-07  6.186e-07    15     487
          7.926e-07  1.141e-06  9.666e-07     9     496
          1.141e-06  1.488e-06  1.315e-06     2     498
          1.488e-06  1.836e-06  1.662e-06     1     499
          1.836e-06  2.184e-06  2.010e-06     1     500
          2.184e-06  2.532e-06  2.358e-06     0     500
          2.532e-06  2.880e-06  2.706e-06     0     500
          2.880e-06  3.228e-06  3.054e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/AEGISmaster_is090wC
